jdate,high,low,open,close,volume,returns,volume_change
1399-08-05,1360240,1336580,1360240,-0.7049756738507675,-0.15941055244895697,0.16880851591177293,1.0385292287169023
1399-08-06,1329450,1301730,1329450,-0.7990703444410094,-0.5774639695215814,0.13347222334108544,-0.41805341707262444
1399-08-07,1288340,1278840,1285520,-0.8362282820270878,-0.2772814153739602,0.046501459908479204,0.3001825541476212
1399-08-10,1312180,1294990,1294990,-0.7881455357599566,-0.006743210889247906,-0.05749954563911008,0.27053820448471233
1399-08-11,1303510,1279880,1303510,-0.8590127586395123,-0.4752409472531187,0.08991641729115818,-0.4684977363638708
1399-08-12,1267270,1262240,1267270,-0.9007661816682923,-0.39668512835544756,0.04860628973067671,0.07855581889767116
1399-08-14,1290500,1271520,1271520,-0.8301924611115111,-0.3808616332591612,-0.07834854593016893,0.015823495096286333
1399-08-17,1277210,1262470,1277210,-0.9052991619866992,-0.29817579155651863,0.09046902301983173,0.08268584170264259
1399-08-18,1252300,1240480,1252300,-0.9660568604151314,-1.6421067056642238,0.06711339298613517,-1.3439309141077052
1399-08-19,1225240,1214900,1225240,-1.0347853209981726,0.028531000699409288,0.07114328710786988,1.670637706363633
1399-08-20,1223260,1211900,1217980,-1.043718118544098,0.5107897832967991,0.00863251281657984,0.48225878259738986
1399-08-21,1221080,1210030,1214430,-1.018862819987653,0.6137514184412759,-0.023814187101701467,0.10296163514447676
1399-08-24,1249510,1231050,1231050,-0.9468215878169991,-0.7276144914784971,-0.0707074895239842,-1.341365909919773
1399-08-25,1268780,1257280,1261580,-0.9202623452200018,2.8979993407467943,-0.02805094744220238,3.6256138322252913
1399-08-26,1273740,1251400,1252820,-0.8757396734235621,0.6877257798481982,-0.048380412420108265,-2.210273560898596
1399-08-27,1309020,1283030,1283030,-0.812661132553931,0.6467441466772389,-0.07202887203115482,-0.040981633170959264
1399-08-28,1345400,1319950,1319950,-0.6812998198136203,0.015280265817247635,-0.16164340520074416,-0.6314638808599913
1399-09-02,1359480,1337630,1359480,-0.6444679959195136,3.202494159191974,-0.05406110910785589,3.1872138933747265
1399-09-03,1384440,1369120,1369120,-0.5991327575072444,1.4221167944910702,-0.07034521294976936,-1.7803773647009038
1399-09-05,1367170,1344870,1348360,-0.6218492937671748,2.4022535916719403,0.03791569727291333,0.9801367971808701
1399-09-08,1390800,1368560,1371420,-0.5576266373615429,3.2553536518879245,-0.10327688243653022,0.8531000602159842
1399-09-09,1427190,1405710,1405710,-0.45871635458651866,2.8111733828716567,-0.17737725594140652,-0.4441802690162677
1399-09-10,1465970,1445700,1445700,-0.3534495724321455,2.3634020140990852,-0.22948120576441922,-0.4477713687725715
1399-09-11,1474840,1457930,1460200,-0.3323391461051758,1.885607168729508,-0.05972684075328005,-0.4777948453695773
1399-09-12,1480720,1468900,1472200,-0.3397691030539316,2.2115117465153036,0.022356550637596007,0.3259045777857956
1399-09-15,1490710,1463970,1464930,-0.2861098126540839,1.2527067600669792,-0.15792869309641244,-0.9588049864483243
1399-09-16,1526570,1505190,1505190,-0.1980781391204164,1.805206879992897,-0.30768491551214516,0.5525001199259179
1399-09-18,1512580,1492770,1512580,-0.24086153789300704,2.177994817877957,0.2159925318491689,0.3727879378850598
1399-09-19,1515060,1502960,1511130,-0.24381830203355068,1.292999153595005,0.012275783698836307,-0.884995664282952
1399-09-22,1535250,1520510,1520510,-0.18626467062874066,2.4418806438278726,-0.23605131741459806,1.1488814902328677
1399-09-23,1520230,1509750,1520230,-0.21804716752548509,1.5491909830980433,0.17063083830906778,-0.8926896607298294
1399-09-24,1518210,1484100,1518210,-0.30392105546393966,-0.0015778194274551256,0.3938317058322609,-1.5507688025254984
1399-09-25,1459790,1428350,1459790,-0.45565903872428376,-0.0015778194274551256,0.49926775566343706,0.0
1399-09-26,1413450,1400370,1407130,-0.4961351831261744,1.783384731855779,0.08882989464054614,1.7849625512832341
1399-09-29,1444880,1429390,1429390,-0.4106444787757866,1.06756817224968,-0.17231332761306362,-0.715816559606099
1399-09-30,1452890,1437350,1452580,-0.4264963218197122,0.7625532130278158,0.038602352797201034,-0.30501495922186417
1399-10-01,1444110,1428930,1434600,-0.4336708230430901,0.7535542542773419,0.016821953335416362,-0.008998958750473851
1399-10-02,1444880,1433590,1436100,-0.4106417611616868,1.2357820851119166,-0.053102631437843106,0.48222783083457466
1399-10-03,1454380,1447840,1453170,-0.4026193643391824,0.8937069161341609,-0.0195362420027847,-0.3420751689777557
1399-10-06,1447700,1423500,1447700,-0.46874978584284877,0.6970776768369287,0.1642504741723141,-0.1966292392972322
1399-10-07,1420950,1407750,1419640,-0.4808377333586007,1.0404125532309847,0.02578763314849697,0.343334876394056
1399-10-08,1440730,1423010,1423010,-0.43169511759256146,0.499100155117748,-0.10220207849076912,-0.5413123981132366
1399-10-09,1438930,1411490,1438930,-0.500499671370396,0.5158381929740588,0.15938228387093556,0.016738037856310728
1399-10-10,1411540,1397840,1411540,-0.538481046028703,0.39753814339001886,0.07588691228170408,-0.11830004958403989
1399-10-13,1389700,1354110,1389700,-0.6573331810677983,-0.1395792597618973,0.22071739741933283,-0.5371174031519161
1399-10-14,1357900,1345820,1347700,-0.6536345082780189,0.7259522953837058,-0.005626785466346096,0.8655315551456031
1399-10-15,1375350,1361540,1361540,-0.6019291824159019,0.6855939387053506,-0.07910433920989457,-0.04035835667835519
1399-10-16,1372480,1350210,1372480,-0.6679400288991786,0.7197567874726507,0.10966546964600665,0.034162848767300136
1399-10-17,1342160,1310450,1342160,-0.7752912210680711,0.5982703789615205,0.16071980645600226,-0.12148640851113024
1399-10-20,1303850,1285940,1303460,-0.8425820637923369,1.1384932109753074,0.08679427922782779,0.540222832013787
1399-10-21,1310030,1295500,1295500,-0.7861453717825301,0.6500090822858599,-0.0669806472686989,-0.48848412868944757
1399-10-22,1312750,1301240,1312750,-0.8010107209082412,0.9543385439718703,0.018909160645447676,0.3043294616860105
1399-10-23,1295500,1260690,1295500,-0.9112018198113875,0.09124290802706962,0.13756507375856852,-0.8630956359448008
1399-10-24,1249380,1229870,1249380,-0.9949260749969284,1.1270524391221415,0.09188332745304573,1.035809531095072
1399-10-27,1223410,1186780,1223410,-1.1120633955390724,0.37694951881633687,0.11773469756786259,-0.7501029203058046
1399-10-29,1168400,1149720,1168400,-1.2127917621468391,-0.9741338213977782,0.09057789961600049,-1.3510833402141151
1399-10-30,1150620,1129920,1136600,-1.210337756614752,1.161830798367215,-0.002023435191993106,2.135964619764993
1399-11-01,1185110,1159090,1159090,-1.1197787019683034,-0.4029368995411153,-0.07482130847486512,-1.5647676979083303
1399-11-04,1222070,1198980,1198980,-1.016177817257086,-0.5416726642962524,-0.0925190705351977,-0.1387357647551371
1399-11-05,1250930,1234590,1237010,-0.9821342654293375,2.7710465461782494,-0.03350156955761974,3.312719210474502
1399-11-06,1236290,1221110,1229750,-0.9789628097749125,0.7839268770623333,-0.0032291467328436907,-1.987119669115916
1399-11-07,1240100,1214830,1238780,-1.035298950063028,0.28169827964648947,0.05754676247718615,-0.5022285974158438
1399-11-08,1207750,1195640,1206750,-1.0551402506054077,0.6405914655063478,0.019164803114280815,0.35889318585985835
1399-11-11,1247170,1216670,1216670,-0.9479466800543016,-0.2964384928433174,-0.10159177463811253,-0.9370299583496653
1399-11-12,1268520,1250950,1264750,-0.9375789822637005,1.7582921186421,-0.010937005222706353,2.0547306114854176
1399-11-13,1249530,1233550,1246540,-0.9848056800894058,0.47239937721313074,0.05037090071247197,-1.2858927414289694
1399-11-14,1226980,1204590,1226980,-1.0614016334912648,1.4020452711212104,0.07777773316143466,0.9296458939080796
1399-11-15,1207530,1173050,1206050,-1.1493952604275357,0.46224150306453954,0.08290323300788005,-0.9398037680566709
1399-11-18,1164370,1135360,1164370,-1.2517976773207573,-0.21303034759198322,0.08909243009678969,-0.6752718506565227
1399-11-19,1170490,1147970,1147970,-1.1563333292242342,-0.38631312655975675,-0.07626180318599651,-0.17328277896777353
1399-11-20,1195060,1185400,1185400,-1.0955647603394028,1.3418871846416547,-0.052552812713268504,1.7282003112014115
1399-11-21,1214370,1194040,1194040,-1.0371007282111717,0.3420869753288039,-0.05336428684518757,-0.9998002093128509
1399-11-25,1262200,1239130,1239130,-0.9071145282053418,0.08635869915112601,-0.12533613801432264,-0.2557282761776779
1399-11-26,1272400,1264330,1269480,-0.9013097044882451,1.3597624186617927,-0.006399218110397897,1.2734037195106667
1399-11-27,1260400,1257060,1260400,-0.9206074822106719,-0.19754196131751398,0.02141081764273678,-1.5573043799793067
1399-11-28,1256530,1245800,1256530,-0.9515692596492875,-0.8718042333755869,0.033631898541891525,-0.6742622720580729
1399-11-29,1246880,1238390,1246880,-0.9718046142361331,-0.9266924493569397,0.02126524620425796,-0.05488821598135285
1399-12-02,1241480,1232750,1241480,-0.9871210873024051,-1.007276801755888,0.015760856495120823,-0.08058435239894823
1399-12-03,1229810,1222650,1229810,-1.0145771425523247,-1.628548115808137,0.027814272841593546,-0.621271314052249
1399-12-04,1219750,1214500,1219750,-1.0367501559923022,-1.4941667540854329,0.021854438179237823,0.1343813617227041
1399-12-05,1211760,1208660,1211580,-1.0441773953269582,-0.20163465658166066,0.007163962591881345,1.2925320975037722
1399-12-06,1215880,1205720,1215700,-1.0603988338884518,-0.9991522169110846,0.015535136686630091,-0.7975175603294239
1399-12-09,1201940,1193970,1201940,-1.0925210325476669,-1.420660538961311,0.03029256316835416,-0.42150832205022637
1399-12-10,1192170,1185400,1192170,-1.1152919210895924,-1.6554821753302513,0.020842517318706122,-0.23482163636894038
1399-12-11,1183880,1181210,1181790,-1.1259993206426642,-0.9669975081754734,0.009600535385041686,0.688484667154778
1399-12-12,1190730,1182520,1182520,-1.1132944747262656,-0.6138617240164377,-0.011283173696008286,0.3531357841590357
1399-12-13,1186060,1177950,1186060,-1.1360082933720963,-1.1543188664774526,0.02040234561607379,-0.540457142461015
1399-12-16,1175540,1169740,1175540,-1.1583334932016607,-1.3776187240457622,0.019652321166859554,-0.2232998575683096
1399-12-17,1175590,1168090,1168090,-1.1424898030000343,-0.6365786346858382,-0.013678004041680625,0.741040089359924
1399-12-18,1199940,1178190,1178190,-1.0763050292143728,0.0416079747454725,-0.0579302971561485,0.6781866094313107
1399-12-19,1215720,1203570,1203570,-1.048574494940377,-0.14786221809704805,-0.02576456814871253,-0.18947019284252056
1399-12-20,1206780,1203990,1205170,-1.0577247016142837,-1.1104353647179153,0.008726329619935136,-0.9625731466208672
1399-12-23,1229480,1205950,1206310,-0.9962060712379174,-0.21644693796969808,-0.058161287414841945,0.8939884267482172
1399-12-24,1246060,1233740,1233740,-0.9534824599755216,0.43254582814650383,-0.04288631890117478,0.6489927661162019
1399-12-25,1254250,1241410,1242820,-0.9287195602984686,-0.24155085529492015,-0.02597100703634203,-0.6740966834414239
1399-12-26,1290520,1255480,1255480,-0.8301598497423139,0.09246918831440569,-0.10612429711772187,0.33402004360932586
1399-12-27,1309860,1305450,1305450,-0.7835826616864522,-0.38125951855304696,-0.05610628853023858,-0.47372870686745266
1400-01-07,1309790,1304330,1307510,-0.7783784306854035,-0.15443811332672477,-0.006641585190065302,0.2268214052263222
1400-01-08,1311180,1304520,1310910,-0.7857540353521639,-0.6929280976250142,0.009475602580952591,-0.5384899842982894
1400-01-10,1306080,1302850,1305230,-0.7959994405082756,-1.04841026555651,0.01303894691615537,-0.3554821679314958
1400-01-11,1303100,1294540,1302900,-0.8192214529907623,-1.242849238047462,0.02917340302106064,-0.1944389724909521
1400-01-14,1292110,1282870,1292110,-0.8509360095350126,-1.54010730690821,0.038713044474688374,-0.297258068860748
1400-01-15,1280970,1269530,1280970,-0.8871889816258693,-1.723211474889493,0.04260364079628842,-0.18310416798128282
1400-01-16,1266760,1261350,1266760,-0.9056388637491698,-1.144645612902857,0.02079588735366067,0.5785658619866358
1400-01-17,1267130,1260800,1265420,-0.9109246231732114,-1.1319510817160756,0.005836498007781632,0.012694531186781433
1400-01-18,1258600,1249890,1258600,-0.9405520520888427,-1.652082466053722,0.03252456697506312,-0.5201313843376465
1400-01-21,1246740,1240750,1246740,-0.9653883273465894,-1.7974452027884527,0.02640606142168167,-0.14536273673473055
1400-01-22,1237340,1230920,1237340,-0.9921079091754728,-1.5925820408942546,0.027677548062263524,0.20486316189419806
1400-01-23,1228760,1225810,1228760,-1.0051741977671398,-1.246366037167428,0.013170229236985076,0.3462160037268265
1400-01-24,1245540,1234640,1234640,-0.9549853005726914,-0.27111446195256056,-0.04993054667134944,0.9752515752148676
1400-01-25,1245620,1243040,1245600,-0.958656797221473,-1.073515625785918,0.0038445582843840143,-0.8024011638333575
1400-01-28,1241280,1233720,1241280,-0.9845067425384317,-1.707482771666712,0.02696475463573722,-0.6339671458807941
1400-01-29,1231020,1224770,1231020,-1.0088185182749239,-1.7848906959637085,0.024694371999735676,-0.0774079242969965
1400-01-30,1221330,1216160,1221330,-1.0304018094552525,-1.28967478118485,0.021394622312481015,0.4952159147788586
1400-01-31,1220870,1217280,1218570,-1.0227136791670193,-0.6361843041363954,-0.007461293465990448,0.6534904770484545
